Unnamed: 0,Crisis,Year,Type of Crisis,Full Date
685,"In 1967, the National Farmers Organization withheld milk supplies for 15 days as part of an effort to induce a quota system to stabilize prices.",1967,Legal,
686,"On 21 April 1967, in Greece a group of colonels established a military dictatorship for seven years.",1967,Europe,
687,1967 – First heart transplantation operation by Professor Christiaan Barnard in South Africa.,1967,Science  ,
688,1967 – Discovery of the first known pulsar (a rapidly spinning neutron star).,1967,Science  ,
689,1967 – PAL and SECAM broadcast color television systems started publicly transmitting in Europe.,1967,Technology,
690,"1967 – The first Automatic Teller Machine was opened in Barclays Bank, London.",1967,Technology,
691,"Canada celebrated its 100th anniversary of Confederation in 1967 by hosting Expo 67 in Montreal, Quebec. During the anniversary celebrations, French president Charles De Gaulle visited Canada and caused a considerable uproar by declaring his support for Québécois independence.",1967,Cultural,
692,"On March 31, incumbent President Lyndon B. Johnson announces to the nation on television that he will not seek re-election. Opposition toward him and the Democratic Party was growing. The escalation of Vietnam was one of these issues.",1968,Politics,
693,Assassination of Martin Luther King Jr.,1968,Civil Rights,
694,The National Front for the Liberation of Vietnam launches the Tet Offensive,1968,Asia ,
695,"Civil Rights Act of 1968, commonly known as the Fair Housing Act",1968,Civil Rights,
696,"A New York Senator and a leading 1968 Democratic presidential candidate, Robert F. Kennedy, is assassinated in Los Angeles after winning the California primary for the Democratic Party's nomination for president, by Sirhan Sirhan.",1968,Politics,
697,Police clashes with anti-war protesters in Chicago during the 1968 Democratic National Convention,1968,Politics,
698,U.S. signs Nuclear Non-Proliferation Treaty,1968,Nuclear,
699,"United States presidential election: Richard Nixon elected president, Spiro T. Agnew elected vice president; Shirley Chisholm becomes first black woman elected to U.S. Congress",1968,Politics,
700,"East L.A. walkouts, or Chicano Blowouts",1968,Civil Rights,
701,"Apollo 8 and its three-astronaut crew orbit the Moon, Earthrise photograph taken",1968,NASA,
702,"Music group Simon and Garfunkel release ""Mrs. Robinson"" from their album The Graduate.",1968,Cultural,
703,President Johnson awards medals of honor to soldiers from Vietnam.,1968,Asia ,
704,The May 1968 student and worker uprisings in France.,1968,Europe,
705,"Mass socialist or Communist movement in most European countries (particularly France and Italy), with which the student-based new left was involved. The most spectacular manifestation of this was the May student revolt of 1968 in Paris that linked up with a general strike of ten million workers called by the trade unions; and for a few days seemed capable of overthrowing the government of Charles de Gaulle. De Gaulle went off to visit French troops in Germany to check on their loyalty. Major concessions were won for trade union rights, higher minimum wages and better working conditions.",1968,Cold War,
706,"The Tlatelolco massacre – was a government massacre of student and civilian protesters and bystanders that took place during the afternoon and night of 2 October 1968, in the Plaza de las Tres Culturas in the Tlatelolco section of Mexico City.",1968,South America,
707,"In 1968, a coup in Iraq led to the overthrow of Abdul Rahman Arif by the Arab Socialist Baath Party.",1968,Middle East,
708,"1968 – U.S. president Richard M. Nixon was elected, defeating Vice President Hubert H. Humphrey, in November.",1968,Politics,
709,"The student and New Left protests in 1968 coincided with political upheavals in a number of other countries. Although these events often sprung from completely different causes, they were influenced by reports and images of what was happening in the United States and France.",1968,Europe,
710,Juan Velasco Alvarado took power by means of a coup in Peru in 1968.,1968,South America,
711,"The war in Vietnam would eventually lead to a commitment of over half a million American troops, resulting in over 58,500 American deaths and producing a large-scale antiwar movement in the United States. As late as the end of 1965, few Americans protested the American involvement in Vietnam, but as the war dragged on and the body count continued to climb, civil unrest escalated. Students became a powerful and disruptive force and university campuses sparked a national debate over the war. As the movement's ideals spread beyond college campuses, doubts about the war also began to appear within the administration itself. A mass movement began rising in opposition to the Vietnam War, including the National Mobilization to End the War in Vietnam's 1967 march to the United Nations and its March on the Pentagon, the 1968 Democratic National Convention protests at which the slogan ""The whole world is watching"" became famous, and continuing in the massive Moratorium protests in 1969 as well as the movement of resistance to conscription (""the Draft"") for the war.[",1968,Asia ,
712,"Beginning in the mid-1950s and continuing into the late 1960s, African Americans in the United States organized a movement to end legalized racial discrimination and obtain voting rights. This article covers the phase of the movement between 1955 and 1968, particularly in the South. The emergence of the Black Power movement, which lasted roughly from 1966 to 1975, enlarged the aims of the civil rights movement to include racial dignity, economic and political self-sufficiency, and anti-imperialism.",1968,Civil Rights,
713,"The movement was characterized by major campaigns of civil resistance. Between 1955 and 1968, acts of civil disobedience and nonviolent protest produced crisis situations between activists and government authorities. Federal, state, and local governments, businesses, and communities often had to respond immediately to these situations that highlighted the inequities faced by African Americans. Forms of protest and/or civil disobedience included boycotts such as the successful Montgomery bus boycott (1955–1956) in Alabama, sit-ins such as the influential Greensboro sit-ins (1960) in North Carolina, marches such as the Selma to Montgomery marches (1965) in Alabama, and other nonviolent activities.",1968,Civil Rights,
714,"The most prominent civil-rights organization in the Mexican-American community, the Mexican American Legal Defense and Educational Fund (MALDEF), was founded in 1968.[48] Although modeled after the NAACP Legal Defense and Educational Fund, MALDEF has also taken on many of the functions of other organizations, including political advocacy and training of local leaders.",1968,Civil Rights,
715,1968 – Ralph Baer developed his Brown Box (a working prototype of the Magnavox Odyssey).,1968,Technology,
716,"1968 – The first public demonstration of the computer mouse, the paper paradigm Graphical user interface, video conferencing, teleconferencing, email, and hypertext.",1968,Technology,
717,"The Zodiac killer first became active after murdering five known victims in the San Francisco Bay Area between December 1968 and October 1969, operating in rural, urban and suburban settings.",1968,Gun Violence,
718,"The counterculture movement had a significant effect on cinema. Movies began to break social taboos such as sex and violence causing both controversy and fascination. They turned increasingly dramatic, unbalanced, and hectic as the cultural revolution was starting. This was the beginning of the New Hollywood era that dominated the next decade in theatres and revolutionized the film industry. Films of this time also focused on the changes happening in the world. Dennis Hopper's Easy Rider (1969) focused on the drug culture of the time. Movies also became more sexually explicit, such as Roger Vadim's Barbarella (1968), as the counterculture progressed.",1968,Cultural,
719,"1968 Summer Olympics – 12–27 October 1968, in Mexico City, Mexico",1968,Sports,
720,"1968 Winter Olympics – 6–18 February 1968, in Grenoble, France",1968,Sports,
721,"""Vietnamization"" begins",1969,Asia ,
722,Author Maya Angelou publishes I Know Why The Caged Bird Sings,1969,Cultural,
723,Stonewall riots in New York City marks the start of the modern gay rights movement in the U.S.,1969,Gay Rights,
724,"Chappaquiddick incident, where Sen. Edward M. Kennedy drives off a bridge on his way home from a party on Chappaquiddick Island, Massachusetts, killing his passenger, Mary Jo Kopechne",1969,Cultural,
725,Neil Armstrong and Buzz Aldrin walk on the Moon on the Apollo 11 mission,1969,NASA,
726,"The Woodstock Festival in White Lake, New York, becomes an enormously successful musical and cultural gathering; a milestone for the baby-boom generation",1969,Cultural,
727,Warren E. Burger appointed Chief Justice of the United States to replace Earl Warren,1969,Legal,
728,U.S. bombs North Vietnamese positions in Cambodia and Laos,1969,Asia ,
729,Sesame Street premieres on National Educational Television.,1969,Cultural,
730,Secret peace talks with Vietnam begin,1969,Asia ,
731,"Although 100-1 shots at the beginning of the season, the New York Mets win the World Series.",1969,Sports,
732,"Nixon becomes the 37th president, Agnew becomes the 39th vice president",1969,Politics,
733,Recession of 1969 - 1970 - Peak Unemployment -,1969,Economics,
734,"The Al-Wadiah War was a military conflict which broke out on 27 November 1969, between Saudi Arabia and the People's Republic of South Yemen.",1969,Middle East,
735,"The Six-Point movement in Bangladesh (at the time East Pakistan). The movement gave way to the 1969 East Pakistan mass uprising, which released Sheikh Mujibur Rahman from prison and put the country on the road to liberation in the early 1970s.",1969,Middle East,
736,"The Stonewall riots occurred in June 1969 in New York City. The Stonewall riots were a series of spontaneous, violent demonstrations against a police raid that took place in the Stonewall Inn, in the Greenwich Village neighborhood of New York City. They are frequently cited as the first instance in American history when people in the homosexual community fought back against a government-sponsored system that persecuted sexual minorities, and they have become the defining event that marked the start of the gay rights movement in the United States and around the world.",1969,Gay Rights,
737,"On 1 September 1969, a small group of military officers led by the army officer Muammar Gaddafi overthrows monarchy in Libya.",1969,Africa,
738,"1969 – U.S. president Richard Nixon was inaugurated in January 1969; he promised ""peace with honor"" to end the Vietnam War.",1969,Politics,
739,"On 1 September 1969, the Libyan monarchy was overthrown and a radical, revolutionary government headed by dictator Muammar Gaddafi took power.",1969,Africa,
740,"1969 – The Cuyahoga River caught fire in Ohio. Fires had erupted on the river many times, including 22 June 1969, when a river fire captured the attention of Time magazine, which described the Cuyahoga as the river that ""oozes rather than flows"" and in which a person ""does not drown but decays."" This helped spur legislative action on water pollution control resulting in the Clean Water Act, Great Lakes Water Quality Agreement, and the creation of the federal Environmental Protection Agency.",1969,Natural Disaster,
741,1969 – Hurricane Camille hit the U.S. Gulf Coast at Category 5 Status. It peaked and made landfall with 175 mph (280 km/h) winds and caused $1.42 billion (1969 USD) in damages.,1969,Natural Disaster,
742,"On 16 March 1969, a DC-9 operating Viasa Flight 742 crashed in the Venezuelan city of Maracaibo. A total of 155 people died in the crash.",1969,Infrastructure,
743,"The symbolic birth of the gay rights movement would not come until the decade had almost come to a close. Gays were not allowed by law to congregate. Gay establishments such as the Stonewall Inn in New York City were routinely raided by the police to arrest gay people. On a night in late June 1969, LGBT people resisted, for the first time, a police raid, and rebelled openly in the streets. This uprising called the Stonewall riots began a new period of the LGBT rights movement that in the next decade would cause dramatic change both inside the LGBT community and in the mainstream American culture.",1969,Gay Rights,
744,"The 1960s was also associated with a large increase in crime and urban unrest of all types. Between 1960 and 1969 reported incidence of violent crime per 100,000 people in the United States nearly doubled and have yet to return to the levels of the early 1960s.[49] Large riots broke out in many cities like Chicago, Detroit, Los Angeles, New York City, Newark, New Jersey, Oakland, California and Washington, D.C. By the end of the decade, politicians like George Wallace and Richard Nixon campaigned on restoring law and order to a nation troubled with the new unrest.",1969,Politics,
745,"1969 – ARPANET, the research-oriented prototype of the Internet, was introduced.",1969,Technology,
746,"1969 – CCD invented at AT&T Bell Labs, used as the electronic imager in still and video cameras.",1969,Technology,
747,"The Manson murders occurred between 8–10 August 1969 when actress Sharon Tate, coffee heiress Abigail Folger and several others were brutally murdered in the Tate residence by Charles Manson's ""family."" Rosemary LaBianca and Leno LaBianca were also murdered by the Manson family the following night.",1969,Cultural,
748,The first Earth Day is observed.[1],1970,Cultural,
749,"Kent State and Jackson State shootings occur during student protests which grow violent. Nation Guard troops and police kill six students, wound others.",1970,Domestic,
750,"American Top 40, hosted by radio personality Casey Kasem, becomes the first successful nationally syndicated radio program featuring a weekly countdown.",1970,Cultural,
751,"The Public Broadcasting System (PBS) begins operations, succeeding National Educational Television (NET).",1970,Cultural,
752,Singer-songwriter-guitarist-musician Jimi Hendrix dies of a drug overdose at the age 27.,1970,Cultural,
753,Singer Janis Joplin dies of a drug overdose at the age of 27.,1970,Cultural,
754,The Environmental Protection Agency is created.,1970,Legal,
755,"The Occupational Safety and Health Act, or OSHA, is signed into law.",1970,Legal,
756,The Cold War (1945–1991),1970,Cold War,
757,Arab–Israeli conflict (Early 20th century–present),1970,Middle East,
758,"Rise of separatism in the province of Quebec in Canada. In 1970, radical Quebec nationalist and Marxist militants of the Front de libération du Québec (FLQ) kidnapped the Quebec labour minister Pierre Laporte and British Trade Commissioner James Cross during the October Crisis, resulting in Laporte being killed, and the enactment of martial law in Canada under the War Measures Act, resulting in a campaign by the Canadian government which arrests suspected FLQ supporters. The election of the Parti Québécois led by René Lévesque in the province of Quebec in Canada, brings the first political party committed to Quebec independence into power in Quebec. Lévesque's government pursues an agenda to secede Quebec from Canada by democratic means and strengthen Francophone Québécois culture in the late 1970s, such as the controversial Charter of the French Language more commonly known in Quebec and Canada as ""Bill 101"".",1970,Canada,
759,"1970 – Coup in Syria, led by Hafez al-Assad.",1970,Middle East,
760,"Rise in the use of terrorism by militant organizations across the world. Groups in Europe like the Red Brigades and the Baader-Meinhof Gang were responsible for a spate of bombings, kidnappings, and murders. Violence continued in Northern Ireland and the Middle East. Radical American groups existed as well, such as the Weather Underground and the Symbionese Liberation Army, but they never achieved the size or strength of their European counterparts.",1970,Ireland,
761,"On September 6, 1970, the world witnessed the beginnings of modern rebellious fighting in what is today called as Skyjack Sunday. Palestinian terrorists hijacked four airliners and took over 300 people on board as hostage. The hostages were later released, but the planes were blown up.",1970,Terroist Attacks,
762,"On January 5, 1970, the 7.1 Mw Tonghai earthquake shakes Tonghai County, Yunnan, China, with a maximum Mercalli intensity of X (Extreme). Between 10,000 and 14,621 were killed and 26,783 were injured.",1970,Natural Disaster,
763,"On May 31, 1970, the 1970 Ancash earthquake caused a landslide that buried the town of Yungay, Peru; more than 47,000 people were killed. ""Essay on Super Cyclone in Orissa""",1970,Natural Disaster,
764,"On October 2, 1970, there was a Plane Crash involving the Wichita State University Football Team",1970,Infrastructure,
765,"On November 14, 1970, Southern Airways Flight 932 carrying the entire Marshall (West Virginia) football team and boosters crashed into a mountainside near Ceredo, West Virginia, on approach to Tri-State Airport in heavy rain and fog. They were returning from a road game loss at East Carolina University in Greenville, North Carolina. There were no survivors.",1970,Infrastructure,
766,"Superpower tensions had cooled by the 1970s, with the bellicose US–Soviet confrontations of the 1950s–60s giving way to the policy of ""détente"", which promoted the idea that the world's problems could be resolved at the negotiating table. Détente was partially a reaction against the policies of the previous 25 years, which had brought the world dangerously close to nuclear war on several occasions, and because the US was in a weakened position following the failure of the Vietnam War. As part of détente, the US also restored ties with the People's Republic of China, partially as a counterweight against Soviet expansionism.",1970,Cold War,
767,People were deeply influenced by the rapid pace of societal change and the aspiration for a more egalitarian society in cultures that were long colonized and have an even longer history of hierarchical social structure.,1970,Cultural,
768,The Green Revolution of the late 1960s brought about self-sufficiency in food in many developing economies. At the same time an increasing number of people began to seek urban prosperity over agrarian life. This consequently saw the duality of transition of diverse interaction across social communities amid increasing information blockade across social class.,1970,South America,
769,"Another common global ethos of the 1970s world included increasingly flexible and varied gender roles for women in industrialized societies. More women could enter the workforce. However, the gender role of men remained as that of a breadwinner. The period also saw the socioeconomic effect of an ever-increasing number of women entering the non-agrarian economic workforce. The Iranian revolution also affected global attitudes toward and among those of the Muslim faith toward the end of the 1970s.",1970,Feminism,
770,"The global experience of the cultural transition of the 1970s and an experience of a global zeitgeist revealed the interdependence of economies since World War II, in a world increasingly polarized between the United States and the Soviet Union.",1970,Cold War,
771,"In Eastern Europe, Soviet-style command economies began showing signs of stagnation, in which successes were persistently dogged by setbacks. The oil shock increased East European, particularly Soviet, exports, but a growing inability to increase agricultural output caused growing concern to the governments of the COMECON block, and a growing dependence on food imported from democratic nations.",1970,Economics,
772,"On the other hand, export-driven economic development in Asia, especially by the Four Asian Tigers (Hong Kong, South Korea, Singapore, and Taiwan), resulted in rapid economic transformation and industrialization. Their abundance of cheap labor, combined with educational and other policy reforms, set the foundation for development in the region during the 1970s and beyond.",1970,Economics,
773,"The 1970s witnessed an explosion in the understanding of solid-state physics, driven by the development of the integrated circuit, and the laser. Stephen Hawking developed his theories of black holes and the boundary-condition of the universe at this period with his theory called Hawking radiation. The biological sciences greatly advanced, with molecular biology, bacteriology, virology, and genetics achieving their modern forms in this decade. Biodiversity became a cause of major concern as habitat destruction, and Stephen Jay Gould's theory of punctuated equilibrium revolutionized evolutionary thought.",1970,Science  ,
774,"As the 1960s ended, the United States had made two successful crewed lunar landings. Many Americans lost interest afterward, feeling that since the country had accomplished President John F. Kennedy's goal of landing on the Moon by the end of the 1960s, there was no need for further missions. There was also a growing sentiment that the billions of dollars spent on the space program should be put to other uses. The Moon landings continued through 1972, but the near loss of the Apollo 13 mission in April 1970 served to further anti-NASA feelings. Plans for missions up to Apollo 20 were canceled, and the remaining Apollo and Saturn hardware was used for the Skylab space station program in 1973–1974, and for the Apollo–Soyuz Test Project (ASTP), which was carried out in July 1975. Many of the ambitious projects NASA had planned for the 1970s were canceled amid heavy budget cutbacks, and instead it would devote most of the decade to the development of the Space Shuttle. ASTP was the last crewed American space flight for the next five years. The year 1979 witnessed the spectacular reentry of Skylab over Australia. NASA had planned for a Shuttle mission to the space station, but the shuttles were not ready to fly until 1981, too late to save it.",1970,NASA,
775,"In terms of uncrewed missions, a variety of lunar and planetary probes were launched by the US and Soviet programs during the decade. The most successful of these include the Soviet Lunokhod program, a series of robotic lunar missions which included the first uncrewed sample return from another world, and the American Voyagers, which took advantage of a rare alignment of the outer planets to visit all of them except Pluto by the end of the 1980s.",1970,NASA,
776,"China entered the space race in 1970 with the launching of its first satellite, but technological backwardness and limited funds would prevent the country from becoming a significant force in space exploration. Japan launched a satellite for the first time in 1972. The European Space Agency was founded during the decade as well.",1970,NASA,
777,"The second generation of face lifts were first attempted in the 1970s, popularizing the procedure for millions.",1970,Science  ,
778,"César Milstein and Georges Köhler reported their discovery of how to use hybridoma cells to isolate monoclonal antibodies, effectively beginning the history of monoclonal antibody use in science.",1970,Science  ,
779,"Carl Woese and George E. Fox classified archaea as a new, separate domain of life.",1970,Science  ,
780,Concorde makes the world's first commercial passenger-carrying supersonic flight.,1970,Technology,
781,"Intel 4004, the world's first general microprocessor",1970,Technology,
782,the C programming language,1970,Technology,
783,"rudimentary personal computers, with the launch of the Datapoint 2200",1970,Technology,
784,pocket calculators,1970,Technology,
785,"the Magnavox Odyssey, the first home video game console",1970,Technology,
786,"consumer video games, after the release of Computer Space",1970,Technology,
787,"electronic paper, developed by Nick Sheridon at Xerox's Palo Alto Research Center (PARC)",1970,Technology,
788,"fiber optics, which transformed the communications industry",1970,Technology,
789,"microwave ovens, which became commercially available",1970,Technology,
790,British Rail introduced high-speed trains on InterCity services. The trains consisted of British Rail Class 43 diesel-electric locomotives at either end with British Rail Mark 3 carriages. The trains were built in the United Kingdom by British Rail Engineering Limited. The high speed trains ran at 125 miles per hour (201 km/h) speeding up journeys between towns and cities and is still known as the InterCity 125.,1970,Infrastructure,
791,"European car design underwent major changes during the 1970s due to the need for performance with high fuel efficiency—designs such as the Volkswagen Golf and Passat, BMW 3, 5, and 7 series, and Mercedes-Benz S-Class appeared at the latter half of the decade. Ford Europe, specifically Ford Germany, also eclipsed the profits of its American parent company. The designs of Giorgetto Giugiaro became dominant, along with those of Marcello Gandini in Italy. The 1970s also saw the decline and practical failure of the British car industry—a combination of militant strikes and poor quality control effectively halted development at British Leyland, owner of all other British car companies during the 1970s.",1970,Technology,
792,"The role of women in society was profoundly altered with growing feminism across the world and with the presence and rise of a significant number of women as heads of state outside monarchies and heads of government in a number of countries across the world during the 1970s, many being the first women to hold such positions. Non-monarch women heads of state and heads of government in this period included Isabel Perón as the first woman President in Argentina and the first woman non-monarch head of state in the Western hemisphere in 1974 until being deposed in 1976, Elisabeth Domitien becomes the first woman Prime Minister of the Central African Republic, Indira Gandhi continuing as Prime Minister of India until 1977 (and taking office again in 1980), Sirimavo Bandaranaike, Prime minister of Sri Lanka (Former Ceylon) and first female head of government in the world, re-elected in 1970, Prime Minister Golda Meir of Israel and acting chairman Soong Ching-ling of the People's Republic of China continuing their leadership from the sixties, Lidia Gueiler Tejada becoming the interim President of Bolivia beginning from 1979 to 1980, Maria de Lourdes Pintasilgo becoming the first woman Prime Minister of Portugal in 1979, and Margaret Thatcher becoming the first woman Prime Minister of the United Kingdom in 1979. Both Indira Gandhi and Margaret Thatcher would remain important political figures in the following decade in the 1980s.",1970,Feminism,
793,"Pope Paul VI recognized the popularity of Catholic feminists, but ultimately held to tradition when it came to leaving bishops, priests, and deacons a male-only position.[28]",1970,Feminism,
794,"The opposition to the War in Vietnam that began in the 1960s grew exponentially during the early 1970s. One of the best-known anti-war demonstrations was the Kent State shootings. In 1970, university students were protesting the war and the draft. Riots ensued during the weekend and the National Guard was called in to maintain the peace. However, by 4 May 1970, tensions arose again, and as the crowd grew larger, the National Guard started shooting. Four students were killed and nine were injured. This event caused disbelief and shock throughout the country and became a staple of anti-Vietnam demonstrations.",1970,Cultural,
795,"The 1970s started a mainstream affirmation of the environmental issues early activists from the 1960s, such as Rachel Carson and Murray Bookchin, had warned of. The Apollo 11 mission, which had occurred at the end of the previous decade, had transmitted back concrete images of the Earth as an integrated, life-supporting system and shaped a public willingness to preserve nature. On April 22, 1970, the United States celebrated its first Earth Day, in which over two thousand colleges and universities and roughly ten thousand primary and secondary schools participated.",1970,Science  ,
796,"The 1960s counterculture movement had rapidly undone many existing social taboos, and divorce, extramarital sex, and homosexuality were increasingly accepted in the Western world. The event of legalized abortion and over-the-counter birth control pills also played a major factor. Western Europe was in some ways more progressive on sexual liberation than the United States, as nudity in film and on TV had been gradually accepted there from the mid-1960s, and many European countries during this time began allowing women to go topless in public places. Nudist culture was also popular during the decade, especially in Germany and Scandinavia. Child erotica found a niche market, but would eventually be banned under child pornography laws in the 1980s to 1990s.",1970,Health,
797,"The market for adult entertainment in the 1970s was large, and driven in part by the sizable baby boomer population, and the 1972 movie Behind the Green Door, an X-rated feature, became one of the top-grossing films of the year. Playboy Magazine appeared increasingly dull and old-fashioned next to new, more explicit sex-themed magazines such as Penthouse Magazine and Hustler Magazine.",1970,Health,
798,"By the end of the decade, there was an increasing backlash against libertine sexual attitudes, and the event of the AIDS epidemic helped bring about an end to the Sexual Revolution. Adult movie theaters, which had exploded in numbers during the 1970s and were widely seen as a symptom of urban decay in the US, declined as pornographic movies would largely shift to VHS tapes during the succeeding decade.",1970,Health,
799,"The Second-Wave Feminist Movement in the United States, which had begun in the 1960s, carried over to the 1970s, and took a prominent role within society. The fiftieth anniversary of the passage of the Nineteenth Amendment to the United States Constitution (which legalized female suffrage) in 1970 was commemorated by the Women's Strike for Equality and other protests.",1970,Feminism,
800,"Gloria Steinem, Betty Friedan, Betty Ford, Shirley Chisholm, Bella Abzug, Robin Morgan, Kate Millett and Elizabeth Holtzman, among many others, led the movement for women's equality.",1970,Feminism,
801,"Even musically, the women's movement had its shining moment. Australian-American singer Helen Reddy, recorded the song ""I Am Woman"", which became an anthem for the women's liberation movement. ""I Am Woman"" reached No. 1 on the Billboard Hot 100 chart and even won Helen her one and only Grammy Award.",1970,Feminism,
802,"Another movement to arise was the 1970s Goddess movement, which took place to combat patriarchal ideas of religion.[31][32]",1970,Feminism,
803,"Most efforts of the movement, especially aims at social equality and repeal of the remaining oppressive, sexist laws, were successful. Doors of opportunity were more numerous and much further open than before as women gained unheard of success in business, politics, education, science, the law, and even the home. Although most aims of the movement were successful, however, there were some significant failures, most notably the failure to ratify the Equal Rights Amendment to the U.S. Constitution with only three more states needed to ratify it (efforts to ratify ERA in the unratified states continues to this day and twenty-two states have adopted state ERAs). Also, the wage gap failed to close, but it did become smaller.",1970,Feminism,
804,"The second wave feminist movement in the United States largely ended in 1982 with the failure of the Equal Rights Amendment, and with new conservative leadership in Washington, D.C.. American women created a brief, but powerful, third-wave in the early 1990s which addressed sexual harassment (inspired by the Anita Hill–Clarence Thomas Senate Judiciary Committee hearings of 1991). The results of the movement included a new awareness of such issues among women, and unprecedented numbers of women elected to public office, particularly the United States Senate.",1970,Feminism,
805,"The Civil Rights Movement of the 1960s began to fracture in the 1970s, as social groups began defining themselves more by their differences than by their universalities. The Black Nationalist movement grew out of frustrations with the ""non-violent"" strategies of earlier Civil Rights Activists. With the April 1968 assassination of Martin Luther King Jr. and June 1968 assassination of Robert F. Kennedy, many Black people were compelled to reject ideas of negotiation and instead embrace isolation. The feminist movement also splintered from a larger push for Civil Rights in the 1970s. The seventies were seen as the ""woman's turn"", though many feminists incorporated civil rights ideals into their movement. A feminist who had inherited the leadership position of the civil rights movement from her husband, Coretta Scott King, as leader of the black movement, called for an end to all discrimination, helping and encouraging the Woman's Liberation movement, and other movements as well. At the National Women's Conference in 1977 a minority women's resolution, promoted by King and others, passed to ensure racial equality in the movement's goals. Similarly, the gay movement made a huge step forward in the 1970s with the election of political figures such as Harvey Milk to public office and the advocating of anti-gay discrimination legislation passed and not passed during the decade. Many celebrities, including Freddie Mercury and Andy Warhol, also ""came out"" during this decade, bringing gay culture further into the limelight.",1970,Civil Rights,
806,"As cable television became more affordable and accessible by U.S. consumers, the race to bring the silver screen to the small screen commenced with the launch of pay television services showing premium content.",1970,Cultural,
807,"Popular and notable video games of the 1970s include: Space Invaders, Asteroids, Pong, and Breakout.",1970,Technology,
808,Golden age of video arcade games,1970,Technology,
809,Gun Fight was the first video game to contain a microprocessor.,1970,Technology,
810,The Microvision was the first hand-held game console using interchangeable cartridges. It was released by the Milton Bradley Company in November 1979.,1970,Technology,
811,Singer Jim Morrison dies of a drug overdose at the age of 27.,1971,Cultural,
812,"President Richard Nixon ends the United States Gold standard monetary policy, known as the Nixon Shock",1971,Legal,
813,A ban on radio and television cigarette advertisements goes into effect in the United States,1971,Cultural,
814,"The landmark situation comedy, All in the Family, premieres on CBS.",1971,Cultural,
815,"The 26th Amendment is ratified, allowing 18-year-olds to vote.",1971,Legal,
816,"In New York Times Co. v. United States, the Supreme Court rules that the Pentagon Papers may be published, rejecting government injunctions as unconstitutional prior restraint.",1971,Legal,
817,"The Bangladesh Liberation War of 1971 in South Asia, engaging East Pakistan, West Pakistan, and India",1971,Middle East,
818,Indo-Pakistani War of 1971,1971,Asia ,
819,1971 – Military coup in Uganda led by Idi Amin.,1971,Africa,
820,"The 1970 Bhola cyclone, a 120-mph (193 km/h) tropical cyclone, hit the densely populated Ganges Delta region of East Pakistan (now Bangladesh) on November 12 and 13, 1970, killing an estimated 500,000 people. The storm remains to date the deadliest tropical cyclone in world history.",1971,Natural Disaster,
821,"On October 29, 1971, the 1971 Odisha cyclone in the Bay of Bengal, in the Indian state of Odisha, killed 10,000 people.",1971,Natural Disaster,
822,"On July 30, 1971, All Nippon Airways Flight 58 collided with a JASDF fighter plane, killing all 162 on board. The JASDF pilot survived.",1971,Infrastructure,
823,"Meanwhile, the Soviets, having failed in their attempt at crewed lunar landings, canceled the program in 1972. By then, however, they had already begun Salyut, the world's first space station program, which began in 1971. This would have problems of its own, especially the tragic loss of the Soyuz 11 crew in July 1971 and the near-loss of the Soyuz 18a crew during launch in April 1975. It eventually proved a success, with missions as long as six months being conducted by the end of the decade.",1971,NASA,
824,"the earliest floppy disks, invented at IBM, which were 8 inches wide and long, commercially available by 1971",1971,Technology,
825,"email, with the first transmission in 1971",1971,Technology,
826,"car phone services, first available in Finland in 1971 in form of the zero-generation ARP (Autoradiopuhelin, or Car Radiophone) service",1971,Technology,
827,"Amtrak was formed in the United States in 1971, assuming responsibility for inter-city passenger operations throughout the country. In 1976, Conrail was formed to take over the assets of six bankrupt freight railroads in the northeastern US.",1971,Infrastructure,
828,"1971 saw Erin Pizzey establish the world's first domestic violence shelter in Chiswick, London and Pizzey and her colleagues opened further facilities throughout the next few years. This work inspired similar networks of safe houses for female victims of abuse in other countries, with the first shelter in continental Europe opening in Amsterdam in 1974.[29][30]",1971,Feminism,
829,"The Twenty-sixth Amendment to the United States Constitution was ratified on July 1, 1971, lowering the voting age for all federal and state elections from 21 years to 18 years. The primary impetus for this change was the fact that young men were being drafted to fight in the Vietnam War before they were old enough to vote.",1971,Legal,
830,"The Oregon Trail was the first publicly available educational video game made available for widespread use in schools on December 3, 1971. The game is a cult classic and is still used today, in a wide variety of formats, through emulators and on smartphones.",1971,Technology,
831,"President Richard Nixon visits Mao Zedong in China, an astonishing step in formally normalizing relations between the United States and China.",1972,Asia ,
832,The Anti-Ballistic Missile Treaty is signed with the USSR.,1972,Nuclear,
833,First African-American major league baseball player Jackie Robinson dies.,1972,Sports,
834,"Watergate scandal: Five men arrested for the burglary of the Democratic National Committee headquarters at the Watergate office complex in Washington, D.C.",1972,Politics,
835,"U.S. presidential election, 1972: Richard M. Nixon re-elected president, Spiro T. Agnew re-elected vice president",1972,Politics,
836,"Apollo 17 flies to the Moon, and becomes the last crewed mission there (as of March 2022).",1972,NASA,
837,"Martial law was declared in the Philippines on September 21, 1972, by dictator Ferdinand Marcos.",1972,Asia ,
838,"The Munich massacre takes place at the 1972 Summer Olympics in Munich, Germany, where Palestinians belonging to the terrorist group Black September organization kidnapped and murdered eleven Israeli athletes.",1972,Terroist Attacks,
